,Nº Registro,Medicamento,Laboratorio,Fecha Aut.,Estado,Fecha Estado,Cód. ATC,Principios Activos,Nº P. Activos,¿Comercializado?,¿Triangulo Amarillo?,Observaciones,¿Sustituible?,¿Afecta conducción?,¿Problemas de suministro?,nombre
10667,59377,BECLOFORTE 250 microgramos/inhalación SOLUCION PARA INHALACION EN ENVASE A PRESION,Glaxosmithkline S.A.,01/06/1992,Autorizado,01/06/1992,R03BA01,BECLOMETASONA DIPROPIONATO,1,SI,NO,Medicamento Sujeto A Prescripción Médica. Tratamiento De Larga Duración,Medicamentos para el aparato respiratorio administrados por vía inhalatoria,NO,NO,BECLOFORTE
10668,57955,PROZAC 20 mg COMPRIMIDOS DISPERSABLES,Lilly S.A.,01/09/1990,Anulado,15/03/2021,N06AB03,FLUOXETINA HIDROCLORURO,1,NO,NO,Medicamento Sujeto A Prescripción Médica,,SI,NO,PROZAC
10669,57964,CRINOREN 5 mg COMPRIMIDOS,Vifor Pharma Espana S.L.,01/09/1988,Anulado,09/02/2021,C09AA02,ENALAPRIL MALEATO,1,NO,NO,Medicamento Sujeto A Prescripción Médica. Tratamiento De Larga Duración,,NO,NO,CRINOREN
10670,58074,"NIMOTOP 30 mg, COMPRIMIDOS RECUBIERTOS CON PELICULA",Laboratoire X.O,01/01/1989,Suspenso,25/04/2024,C08CA06,NIMODIPINO,1,NO,NO,Medicamento Sujeto A Prescripción Médica,,NO,NO,NIMOTOP
10671,61156,"MOXON 0,2 mg COMPRIMIDOS RECUBIERTOS CON PELICULA",Viatris Healthcare Limited,01/02/1997,Autorizado,01/02/1997,C02AC05,MOXONIDINA,1,SI,NO,Medicamento Sujeto A Prescripción Médica,,SI,NO,MOXON
10672,61185,ATROVENT MONODOSIS 250 mcg / 2ml SOLUCION PARA INHALACION POR NEBULIZADOR,Boehringer Ingelheim Espana S.A.,01/12/1996,Autorizado,01/12/1996,R03BB01,IPRATROPIO BROMURO,1,SI,NO,Medicamento Sujeto A Prescripción Médica. Tratamiento De Larga Duración,Medicamentos para el aparato respiratorio administrados por vía inhalatoria,NO,NO,ATROVENT
10673,62998,NUTRIFLEX LIPID SPECIAL EMULSION PARA PERFUSION,B. Braun Melsungen Ag,13/04/2000,Anulado,04/05/2021,B05BA10,"SERINA, GLUCOSA MONOHIDRATO, SODIO CLORURO, SODIO DIHIDROGENOFOSFATO, SODIO HIDROXIDO, FENILALANINA, TRIPTOFANO, GLUTAMICO ACIDO, GLICINA, HISTIDINA HIDROCLORURO, ISOLEUCINA, LEUCINA, TREONINA, METIONINA, CALCIO CLORURO DIHIDRATO, ACEITE SEMILLA SOJA, PROLINA, ACETATO MAGNESIO TETRAHIDRATO, ACETATO POTASIO, ACETATO SODIO TRIHIDRATO, LISINA HIDROCLORURO, VALINA, ALANINA, ARGININA, ASPARTICO ACIDO, ZINC ACETATO, TRIGLICERIDOS CADENA MEDIA",27,NO,NO,Uso Hospitalario,,NO,NO,NUTRIFLEX
10674,62999,ROFERON - A 3 MILLONES DE UNIDADES INTERNACIONALES (UI) SOLUCION INYECTABLE EN JERINGA PRECARGADA,Roche Farma S.A.,17/04/2000,Anulado,07/02/2022,L03AB04,INTERFERON ALFA-2A,1,NO,NO,Diagnóstico Hospitalario,Biológicos,SI,NO,ROFERON
10675,63002,"CLEXANE 12.000 UI (120 mg)/ 0,8 ml SOLUCION INYECTABLE EN JERINGA PRECARGADA",Sanofi Aventis S.A.,24/04/2000,Autorizado,24/04/2000,B01AB05,ENOXAPARINA SODICA,1,SI,NO,Medicamento Sujeto A Prescripción Médica,Biológicos,NO,SI,CLEXANE
10676,63004,"PHIVOR 3.500 UI ANTI XA/0,2 ML DE SOLUCION EN JERINGAS PRECARGAS",Gineladius S.L.,09/03/2000,Autorizado,09/03/2000,B01AB12,BEMIPARINA SODICA,1,NO,NO,Medicamento Sujeto A Prescripción Médica,Biológicos,NO,NO,PHIVOR
10677,63006,HYALGAN 20 MG SOLUCIÓN INYECTABLE EN JERINGA PRECARGADA,Laboratorios Fidia Farmaceutica S.L.,15/03/2000,Autorizado,22/07/2015,M09AX01,HIALURONICO ACIDO,1,SI,NO,Medicamento Sujeto A Prescripción Médica,Biológicos,NO,NO,HYALGAN
