,Nº Registro,Medicamento,Laboratorio,Fecha Aut.,Estado,Fecha Estado,Cód. ATC,Principios Activos,Nº P. Activos,¿Comercializado?,¿Triangulo Amarillo?,Observaciones,¿Sustituible?,¿Afecta conducción?,¿Problemas de suministro?,nombre
0,06354005IP1,COMPETACT 15 MG/850 MG COMPRIMIDOS RECUBIERTOS CON PELICULA,Takeda Pharma A/S,19/05/2022,Autorizado,20/05/2022,A10BD05,"METFORMINA HIDROCLORURO, PIOGLITAZONA HIDROCLORURO",2,NO,NO,Medicamento Sujeto A Prescripción Médica,,NO,NO,COMPETACT
1,06356001,EXJADE 125 MG COMPRIMIDOS DISPERSABLES,Novartis Europharm Limited,09/10/2006,Anulado,08/02/2022,V03AC03,DEFERASIROX,1,NO,NO,Diagnóstico Hospitalario,,NO,NO,EXJADE
2,06361001,LUMINITY 150 MICROLITROS/ML GAS Y DISOLVENTE PARA SOLUCIÓN PARA DISPERSIÓN INYECTABLE Y PARA PERFUSIÓN,Lantheus Eu Limited,09/10/2006,Autorizado,23/08/2017,V08DA04,PERFLUTRENO,1,SI,NO,Uso Hospitalario,,NO,NO,LUMINITY
3,06363006,SPRYCEL 70 MG COMPRIMIDOS RECUBIERTOS CON PELICULA,Bristol-Myers Squibb Pharma Eeig,29/11/2006,Autorizado,29/11/2006,L01EA02,DASATINIB MONOHIDRATO,1,SI,NO,Diagnóstico Hospitalario,,SI,NO,SPRYCEL
4,06363015,SPRYCEL 140 MG COMPRIMIDOS RECUBIERTOS CON PELICULA,Bristol-Myers Squibb Pharma Eeig,23/08/2011,Autorizado,23/08/2011,L01EA02,DASATINIB MONOHIDRATO,1,NO,NO,Diagnóstico Hospitalario,,SI,NO,SPRYCEL
5,06364007IP,ADROVANCE 70 MG/5.600 UI COMPRIMIDOS,Organon N.V.,12/07/2024,Autorizado,13/07/2024,M05BB03,"COLECALCIFEROL, ALENDRONATO SODIO TRIHIDRATO",2,SI,NO,Medicamento Sujeto A Prescripción Médica,,NO,NO,ADROVANCE
6,06366018,TANDEMACT 30 mg/2 mg COMPRIMIDOS,Cheplapharm Arzneimittel Gmbh,29/09/2009,Autorizado,29/09/2009,A10BD06,"PIOGLITAZONA, GLIMEPIRIDA",2,SI,NO,Medicamento Sujeto A Prescripción Médica,,SI,NO,TANDEMACT
7,06367002,DIACOMIT 250 mg CAPSULAS DURAS,Biocodex,12/11/2009,Autorizado,12/11/2009,N03AX17,ESTIRIPENTOL,1,SI,NO,Diagnóstico Hospitalario,,NO,NO,DIACOMIT
8,06367008,DIACOMIT 250 mg POLVO PARA SUSPENSION ORAL,Biocodex,12/11/2009,Autorizado,12/11/2009,N03AX17,ESTIRIPENTOL,1,SI,NO,Diagnóstico Hospitalario,,NO,NO,DIACOMIT
9,06380003,PREZISTA 400 mg COMPRIMIDOS RECUBIERTOS CON PELICULA,Janssen-Cilag International N.V,16/02/2009,Autorizado,16/02/2009,J05AE10,DARUNAVIR ETANOLATO,1,SI,NO,Diagnóstico Hospitalario,,NO,NO,PREZISTA
10,07386008,TOVIAZ 8 mg COMPRIMIDOS DE LIBERACION PROLONGADA,Pfizer Europe Ma Eeig,10/05/2007,Autorizado,10/05/2007,G04BD11,FESOTERODINA FUMARATO,1,SI,NO,Medicamento Sujeto A Prescripción Médica,,SI,NO,TOVIAZ
11,07389008,ORENCIA 125 mg SOLUCION INYECTABLE EN JERINGA PRECARGADA,Bristol-Myers Squibb Pharma Eeig,25/10/2012,Autorizado,25/10/2012,L04AA24,ABATACEPT,1,SI,NO,Diagnóstico Hospitalario,Biológicos,NO,NO,ORENCIA
12,07395001,INVEGA 3 mg COMPRIMIDOS DE LIBERACION PROLONGADA,Janssen-Cilag International N.V,18/09/2007,Autorizado,18/09/2007,N05AX13,PALIPERIDONA,1,NO,NO,Medicamento Sujeto A Prescripción Médica,,SI,NO,INVEGA
13,07395009,INVEGA 6 mg COMPRIMIDOS DE LIBERACION PROLONGADA,Janssen-Cilag International N.V,18/09/2007,Autorizado,18/09/2007,N05AX13,PALIPERIDONA,1,NO,NO,Medicamento Sujeto A Prescripción Médica,,SI,NO,INVEGA
14,07397001,SIKLOS 1.000 MG COMPRIMIDOS RECUBIERTOS CON PELICULA,Theravia,25/06/2010,Autorizado,25/06/2010,L01XX05,HIDROXICARBAMIDA,1,SI,NO,Diagnóstico Hospitalario,,NO,NO,SIKLOS
15,07400013,"MIRCERA 250 microgramos/0,3 ml SOLUCION INYECTABLE EN JERINGA PRECARGADA",Roche Registration Gmbh,31/07/2007,Autorizado,31/07/2007,B03XA03,METOXI-POLIETILENGLICOL-EPOETINA BETA,1,SI,NO,Uso Hospitalario,Biológicos,NO,NO,MIRCERA
16,07400017,"MIRCERA 30 microgramos/0,3 ml SOLUCION INYECTABLE EN JERINGA PRECARGADA",Roche Registration Gmbh,24/09/2008,Autorizado,24/09/2008,B03XA03,METOXI-POLIETILENGLICOL-EPOETINA BETA,1,SI,NO,Uso Hospitalario,Biológicos,NO,NO,MIRCERA
17,07404002,FLEBOGAMMA DIF 50 mg/ml SOLUCION PARA PERFUSION,Instituto Grifols S.A.,16/03/2010,Autorizado,16/03/2010,J06BA02,INMUNOGLOBULINA HUMANA NORMAL,1,SI,NO,Uso Hospitalario,Biológicos,NO,NO,FLEBOGAMMA
18,02215007IP1,"PRITORPLUS 80 mg/12,5 mg comprimidos",Bayer Pharma Ag,24/06/2015,Autorizado,24/06/2015,C09DA07,"TELMISARTAN, HIDROCLOROTIAZIDA",2,SI,NO,Medicamento Sujeto A Prescripción Médica,,NO,NO,PRITORPLUS
19,02215007IP3,"PRITORPLUS 80 mg/12,5 mg COMPRIMIDOS",Bayer Ag,21/12/2021,Autorizado,22/12/2021,C09DA07,"TELMISARTAN, HIDROCLOROTIAZIDA",2,SI,NO,Medicamento Sujeto A Prescripción Médica,,NO,NO,PRITORPLUS
20,02216001,INVANZ 1 G POLVO PARA CONCENTRADO PARA SOLUCION PARA PERFUSION,Merck Sharp & Dohme B.V.,10/06/2002,Autorizado,10/06/2002,J01DH03,ERTAPENEM,1,SI,NO,Uso Hospitalario,,NO,NO,INVANZ
21,02217001,OPATANOL 1 mg/ml COLIRIO EN SOLUCION,Novartis Europharm Limited,29/07/2002,Autorizado,29/07/2002,S01GX09,OLOPATADINA HIDROCLORURO,1,SI,NO,Medicamento Sujeto A Prescripción Médica,,NO,NO,OPATANOL
22,02217001IP,OPATANOL 1 mg/ml COLIRIO EN SOLUCION,Alcon Laboratories Ltd (Uk),04/02/2009,Autorizado,04/02/2009,S01GX09,OLOPATADINA HIDROCLORURO,1,NO,NO,Medicamento Sujeto A Prescripción Médica,,NO,NO,OPATANOL
23,02219008,EBIXA 10 MG COMPRIMIDOS RECUBIERTOS CON PELICULA,H. Lundbeck A/S,17/10/2002,Autorizado,17/10/2002,N06DX01,MEMANTINA HIDROCLORURO,1,NO,NO,Diagnóstico Hospitalario,,SI,NO,EBIXA
24,02221008,"PEGASYS, 180 microgramos, SOLUCION INYECTABLE EN JERINGA PRECARGADA",Pharmaand Gmbh,29/07/2002,Autorizado,29/07/2002,L03AB11,PEGINTERFERON ALFA- 2A,1,SI,NO,Diagnóstico Hospitalario,Biológicos,SI,SI,"PEGASYS,"
25,02222005,TAMIFLU 6 mg/ml POLVO PARA SUSPENSION ORAL,Roche Registration Gmbh,20/03/2012,Autorizado,20/03/2012,J05AH02,OSELTAMIVIR FOSFATO,1,SI,NO,Medicamento Sujeto A Prescripción Médica,,NO,NO,TAMIFLU
26,02223001IP2,"EVRA 203 MICROGRAMOS/24 HORAS + 33,9 MICROGRAMOS/24 HORAS PARCHE TRANSDERMICO",Janssen-Cilag International N.V,14/03/2017,Autorizado,15/03/2017,G03AA13,"ETINILESTRADIOL, NORELGESTROMINA",2,SI,NO,Medicamento Sujeto A Prescripción Médica,,NO,NO,EVRA
27,02223001IP4,"EVRA 203 MICROGRAMOS/24 HORAS + 33,9 MICROGRAMOS/24 HORAS PARCHE TRANSDERMICO",Janssen-Cilag International N.V,18/04/2020,Autorizado,19/04/2020,G03AA13,"ETINILESTRADIOL, NORELGESTROMINA",2,SI,NO,Medicamento Sujeto A Prescripción Médica,,NO,NO,EVRA
28,02237001IP1,CIALIS 10 MG COMPRIMIDOS RECUBIERTOS CON PELICULA,Eli Lilly Nederland B.V.,10/03/2016,Autorizado,10/03/2016,G04BE08,TADALAFILO,1,SI,NO,Medicamento Sujeto A Prescripción Médica,,SI,NO,CIALIS
29,02237003IP4,CIALIS 20 MG COMPRIMIDOS RECUBIERTOS CON PELICULA,Eli Lilly Nederland B.V.,02/11/2021,Autorizado,03/11/2021,G04BE08,TADALAFILO,1,SI,NO,Medicamento Sujeto A Prescripción Médica,,SI,NO,CIALIS
30,02237005,CIALIS 20 mg COMPRIMIDOS RECUBIERTOS CON PELICULA,Eli Lilly Nederland B.V.,13/04/2011,Autorizado,13/04/2011,G04BE08,TADALAFILO,1,SI,NO,Medicamento Sujeto A Prescripción Médica,,SI,NO,CIALIS
31,032033019,IDEOS UNIDIA 1000 MG/880 UI GRANULADO EFERVESCENTE,Warner Chilcott Italy S.R.L.,05/04/2018,Autorizado,06/04/2018,A12AX,"CALCIO CARBONATO, COLECALCIFEROL",2,NO,NO,Medicamento Sujeto A Prescripción Médica,,NO,NO,IDEOS
32,03248007,LEVITRA 10 mg COMPRIMIDOS RECUBIERTOS CON PELICULA,Bayer Ag,11/03/2003,Autorizado,11/03/2003,G04BE09,VARDENAFILO HIDROCLORURO,1,NO,NO,Medicamento Sujeto A Prescripción Médica,,SI,NO,LEVITRA
33,03249007,VIVANZA 10 MG COMPRIMIDOS RECUBIERTOS CON PELICULA,Bayer Ag,16/10/2012,Anulado,28/04/2022,G04BE09,VARDENAFILO HIDROCLORURO,1,NO,NO,Medicamento Sujeto A Prescripción Médica,,SI,NO,VIVANZA
34,00000235,"BELARA DIARIO 2 MG/0,03 MG COMPRIMIDOS RECUBIERTOS CON PELICULA",Pharma Gerke Arzneimittelvertriebs Gmbh,07/09/2020,Autorizado,08/09/2020,G03AA15,"CLORMADINONA ACETATO, ETINILESTRADIOL",2,NO,SI,Medicamento Sujeto A Prescripción Médica,,NO,NO,BELARA
35,00130001,"ORGALUTRAN 0,25 MG/0,5 ML SOLUCION INYECTABLE",Organon N.V.,17/01/2001,Autorizado,17/01/2001,H01CC01,GANIRELIX,1,SI,NO,Diagnóstico Hospitalario,,NO,NO,ORGALUTRAN
36,00131035,PEGINTRON 80 microgramos POLVO Y DISOLVENTE PARA SOLUCION INYECTABLE EN PLUMA PRECARGADA,Merck Sharp & Dohme B.V.,15/03/2002,Anulado,28/01/2022,L03AB10,PEGINTERFERON ALFA-2B,1,NO,NO,Diagnóstico Hospitalario,Biológicos,SI,NO,PEGINTRON
37,00131039,PEGINTRON 100 microgramos POLVO Y DISOLVENTE PARA SOLUCION INYECTABLE EN PLUMA PRECARGADA,Merck Sharp & Dohme B.V.,15/03/2002,Anulado,28/01/2022,L03AB10,PEGINTERFERON ALFA-2B,1,NO,NO,Diagnóstico Hospitalario,Biológicos,SI,NO,PEGINTRON
38,00132047,ViraferonPeg 150 microgramos polvo y disolvente para solucion inyectable en pluma precargada,Merck Sharp & Dohme B.V.,03/09/2013,Anulado,31/03/2021,L03AB10,PEGINTERFERON ALFA-2B,1,NO,NO,Medicamento Sujeto A Prescripción Médica,Biológicos,SI,NO,ViraferonPeg
39,00134003,LANTUS 100 UNIDADES/ML SOLUCION INYECTABLE EN UN VIAL,Sanofi-Aventis Deutschland Gmbh,14/11/2000,Autorizado,14/11/2000,A10AE04,INSULINA GLARGINA,1,NO,NO,Medicamento Sujeto A Prescripción Médica. Tratamiento De Larga Duración,Biológicos,SI,NO,LANTUS
40,00143002,KOGENATE BAYER 500 UI POLVO Y DISOLVENTE PARA SOLUCION INYECTABLE,Bayer Schering Gmbh,05/10/2000,Anulado,19/06/2023,B02BD02,OCTOCOG ALFA,1,NO,NO,Uso Hospitalario,Biológicos,NO,NO,KOGENATE
41,00143005,KOGENATE BAYER 500 UI POLVO Y DISOLVENTE PARA SOLUCION INYECTABLE,Bayer Ag,12/01/2005,Anulado,16/06/2023,B02BD02,OCTOCOG ALFA,1,NO,NO,Uso Hospitalario,Biológicos,NO,NO,KOGENATE
42,00146011,KEPPRA 500 MG COMPRIMIDOS RECUBIERTOS CON PELICULA,Ucb Pharma,14/11/2000,Autorizado,14/11/2000,N03AX14,LEVETIRACETAM,1,NO,NO,Medicamento Sujeto A Prescripción Médica,,SI,NO,KEPPRA
43,00146022IP4,KEPPRA 1000 MG COMPRIMIDOS RECUBIERTOS CON PELICULA,Ucb Pharma,27/07/2018,Autorizado,28/07/2018,N03AX14,LEVETIRACETAM,1,SI,NO,Medicamento Sujeto A Prescripción Médica,,SI,NO,KEPPRA
44,00146022IP6,KEPPRA 1000 MG COMPRIMIDOS RECUBIERTOS CON PELICULA,Ucb Pharma,15/09/2025,Autorizado,16/09/2025,N03AX14,LEVETIRACETAM,1,NO,NO,Medicamento Sujeto A Prescripción Médica,,SI,NO,KEPPRA
45,00146032,KEPPRA 100 mg/ml SOLUCION ORAL,Ucb Pharma,02/12/2009,Autorizado,02/12/2009,N03AX14,LEVETIRACETAM,1,SI,NO,Medicamento Sujeto A Prescripción Médica,,SI,NO,KEPPRA
46,00151001,GLUSTIN 15 mg COMPRIMIDOS,Takeda Pharma A/S,24/10/2007,Anulado,16/02/2022,A10BG03,PIOGLITAZONA,1,NO,NO,Medicamento Sujeto A Prescripción Médica,,NO,NO,GLUSTIN
47,00160008IP,AERIUS 5 MG COMPRIMIDOS RECUBIERTOS CON PELICULA,Merck Sharp & Dohme (Uk) Limited,13/09/2016,Autorizado,14/09/2016,R06AX27,DESLORATADINA,1,NO,NO,Medicamento Sujeto A Prescripción Médica,,NO,NO,AERIUS
48,34491,POMADA BELLADONA ORRAVAN POMADA,"Laboratorio Reig Jofre, S.A.",01/09/1960,Autorizado,01/09/1960,D04AX,BELLADONA EXTO BLANDO,1,NO,NO,Sin Receta,,NO,NO,POMADA
49,35146024IP1,BARNIX 10 mg CAPSULAS DURAS DE LIBERACION MODIFICADA,Alfasigma S.P.A.,24/09/2025,Autorizado,25/09/2025,C08CA12,BARNIDIPINO HIDROCLORURO,1,NO,NO,Medicamento Sujeto A Prescripción Médica,,NO,NO,BARNIX
50,36286-00-00,OPIREN 30 MG CAPSULAS,Takeda Gmbh,06/07/2018,Autorizado,07/07/2018,A02BC03,LANSOPRAZOL,1,SI,NO,Medicamento Sujeto A Prescripción Médica,,NO,NO,OPIREN
51,36286-00-00IP1,OPIREN 30 MG CAPSULAS,Takeda Gmbh,12/09/2019,Autorizado,13/09/2019,A02BC03,LANSOPRAZOL,1,SI,NO,Medicamento Sujeto A Prescripción Médica,,NO,NO,OPIREN
52,36558,PRIMOBOLAN DEPOT 100 MG SOLUCION INYECTABLE,Bayer Hispania S.L.,01/09/1961,Autorizado,01/09/1961,A14AA04,METENOLONA ENANTATO,1,SI,NO,Medicamento Sujeto A Prescripción Médica,,NO,NO,PRIMOBOLAN
53,365_516-7IP,VESICARE 10mg comprimidos recubiertos con pelicula,Astellas Pharma,18/02/2015,Autorizado,18/02/2015,G04BD08,SOLIFENACINA SUCCINATO,1,SI,NO,Medicamento Sujeto A Prescripción Médica,,SI,NO,VESICARE
54,09599014,RIVASTIGMINA SANDOZ 6 mg CAPSULAS DURAS EFG,Sandoz Gmbh,21/06/2012,Autorizado,21/06/2012,N06DA03,RIVASTIGMINA HIDROGENO TARTRATO,1,SI,NO,Diagnóstico Hospitalario,,SI,NO,RIVASTIGMINA
55,09603005,SILDENAFILO RATIOPHARM 50 MG COMPRIMIDOS RECUBIERTOS CON PELICULA EFG,Ratiopharm Gmbh,19/01/2010,Autorizado,19/01/2010,G04BE03,SILDENAFILO CITRATO,1,NO,NO,Medicamento Sujeto A Prescripción Médica,,SI,NO,SILDENAFILO
56,09606008,TEMOZOLOMIDA TEVA 140 mg CAPSULAS DURAS EFG,Teva B.V.,24/03/2010,Autorizado,24/03/2010,L01AX03,TEMOZOLOMIDA,1,NO,NO,Diagnóstico Hospitalario,,SI,NO,TEMOZOLOMIDA
57,09606009,TEMOZOLOMIDA TEVA 180 mg CAPSULAS DURAS EFG,Teva B.V.,24/03/2010,Autorizado,24/03/2010,L01AX03,TEMOZOLOMIDA,1,NO,NO,Diagnóstico Hospitalario,,SI,NO,TEMOZOLOMIDA
58,09606011,TEMOZOLOMIDA TEVA 250 mg CAPSULAS DURAS EFG,Teva B.V.,24/03/2010,Autorizado,24/03/2010,L01AX03,TEMOZOLOMIDA,1,NO,NO,Diagnóstico Hospitalario,,SI,NO,TEMOZOLOMIDA
59,09607004IP,SILODYX 4 MG CAPSULAS DURAS,Recordati Ireland Limited,03/06/2014,Autorizado,03/06/2014,G04CA04,SILODOSINA,1,SI,NO,Medicamento Sujeto A Prescripción Médica,,NO,NO,SILODYX
60,09607011IP1,SILODYX 8 MG CAPSULAS DURAS,Recordati Ireland Limited,03/06/2014,Autorizado,03/06/2014,G04CA04,SILODOSINA,1,SI,NO,Medicamento Sujeto A Prescripción Médica,,NO,NO,SILODYX
61,09608011IP1,UROREC 8 MG CAPSULAS DURAS,Recordati Ireland Limited,03/06/2014,Autorizado,03/06/2014,G04CA04,SILODOSINA,1,SI,NO,Medicamento Sujeto A Prescripción Médica,,NO,NO,UROREC
62,09608011IP2,UROREC 8 MG CAPSULAS DURAS,Recordati Ireland Limited,24/03/2015,Autorizado,24/03/2015,G04CA04,SILODOSINA,1,SI,NO,Medicamento Sujeto A Prescripción Médica,,NO,NO,UROREC
63,10008201703IP,CELEBREX 200 MG CAPSULAS DURAS,Upjohn Eesv,24/10/2022,Autorizado,25/10/2022,M01AH01,CELECOXIB,1,SI,NO,Medicamento Sujeto A Prescripción Médica,,NO,NO,CELEBREX
64,102240010,SOMAVERT 25 MG POLVO Y DISOLVENTE PARA SOLUCION INYECTABLE,Pfizer Europe Ma Eeig,19/10/2015,Autorizado,19/10/2015,H01AX01,PEGVISOMANT,1,SI,NO,Diagnóstico Hospitalario,Biológicos,NO,NO,SOMAVERT
65,102240012,SOMAVERT 30 MG POLVO Y DISOLVENTE PARA SOLUCION INYECTABLE,Pfizer Europe Ma Eeig,21/10/2015,Autorizado,21/10/2015,H01AX01,PEGVISOMANT,1,SI,NO,Diagnóstico Hospitalario,Biológicos,NO,NO,SOMAVERT
66,103248021,LEVITRA 5 mg COMPRIMIDOS RECUBIERTOS CON PELICULA,Bayer Ag,12/11/2014,Autorizado,12/11/2014,G04BE09,VARDENAFILO HIDROCLORURO TRIHIDRATO,1,NO,NO,Medicamento Sujeto A Prescripción Médica,,SI,NO,LEVITRA
67,103256017,HUMIRA 40 MG SOLUCIÓN INYECTABLE EN PLUMA PRECARGADA,Abbvie Deutschland Gmbh & Co. Kg,11/01/2016,Autorizado,11/01/2016,L04AB04,ADALIMUMAB,1,SI,NO,Diagnóstico Hospitalario,Biológicos,NO,NO,HUMIRA
68,10454201702,SINGULAIR 5 MG COMPRIMIDOS MASTICABLES,Organon Biosciences S.R.L.,23/10/2025,Autorizado,24/10/2025,R03DC03,MONTELUKAST SODICO,1,NO,NO,Medicamento Sujeto A Prescripción Médica,,NO,NO,SINGULAIR
69,1060359010,SUBOXONE 4 MG/1 MG PELICULA SUBLINGUAL,Indivior Europe Limited,30/10/2020,Autorizado,31/10/2020,N07BC51,"BUPRENORFINA HIDROCLORURO, NALOXONA HIDROCLORURO DIHIDRATO",2,NO,NO,Diagnóstico Hospitalario,,SI,NO,SUBOXONE
70,10612005,REVOLADE 50 MG COMPRIMIDOS RECUBIERTOS CON PELICULA,Novartis Europharm Limited,09/04/2010,Autorizado,09/04/2010,B02BX05,ELTROMBOPAG,1,SI,NO,Uso Hospitalario,,NO,NO,REVOLADE
71,10615021,TEMOZOLOMIDA ACCORD 250 mg CAPSULAS DURAS EFG,Accord Healthcare S.L.U.,04/08/2010,Autorizado,04/08/2010,L01AX03,TEMOZOLOMIDA,1,NO,NO,Diagnóstico Hospitalario,,SI,NO,TEMOZOLOMIDA
72,10637001,LEFLUNOMIDA MEDAC 10 mg COMPRIMIDOS RECUBIERTOS CON PELICULA EFG,Medac Gesellschaft Für Klinische Spezialpräparate Gmbh,15/02/2011,Autorizado,15/02/2011,L04AK01,LEFLUNOMIDA,1,SI,NO,Diagnóstico Hospitalario,,NO,NO,LEFLUNOMIDA
73,10637006,LEFLUNOMIDA MEDAC 20 mg COMPRIMIDOS RECUBIERTOS CON PELICULA EFG,Medac Gesellschaft Für Klinische Spezialpräparate Gmbh,15/02/2011,Autorizado,15/02/2011,L04AK01,LEFLUNOMIDA,1,SI,NO,Diagnóstico Hospitalario,,NO,NO,LEFLUNOMIDA
74,1171195007,ERELZI 50 MG SOLUCION INYECTABLE EN JERINGA PRECARGADA,Sandoz Gmbh,26/07/2017,Autorizado,27/07/2017,L04AB01,ETANERCEPT,1,SI,NO,Diagnóstico Hospitalario,Biológicos,NO,NO,ERELZI
75,1171196003,KEVZARA 200 MG SOLUCION INYECTABLE EN JERINGA PRECARGADA,Sanofi Winthrop Industrie,17/07/2017,Autorizado,18/07/2017,L04AC14,SARILUMAB,1,SI,NO,Diagnóstico Hospitalario,Biológicos,NO,NO,KEVZARA
76,1171196007,KEVZARA 200 MG SOLUCION INYECTABLE EN PLUMA PRECARGADA,Sanofi Winthrop Industrie,17/07/2017,Autorizado,18/07/2017,L04AC14,SARILUMAB,1,SI,NO,Diagnóstico Hospitalario,Biológicos,NO,NO,KEVZARA
77,1171213001,MAVIRET 100 MG/40 MG COMPRIMIDOS RECUBIERTOS CON PELICULA,Abbvie Deutschland Gmbh & Co. Kg,03/08/2017,Autorizado,04/08/2017,J05AP57,"GLECAPREVIR, PIBRENTASVIR",2,SI,NO,Diagnóstico Hospitalario,,NO,NO,MAVIRET
78,1171220002IP1,TECENTRIQ 840 MG CONCENTRADO PARA SOLUCION PARA PERFUSION,Roche Registration Gmbh,15/07/2024,Autorizado,16/07/2024,L01FF05,ATEZOLIZUMAB,1,SI,NO,Uso Hospitalario,Biológicos,SI,NO,TECENTRIQ
79,1171225001IP,SYMTUZA 800 MG/150 MG/200 MG/10 MG COMPRIMIDOS RECUBIERTOS CON PELICULA,Janssen-Cilag International N.V,02/11/2021,Autorizado,03/11/2021,J05AR22,"EMTRICITABINA, DARUNAVIR ETANOLATO, COBICISTAT, TENOFOVIR ALAFENAMIDA FUMARATO",4,NO,NO,Uso Hospitalario,,SI,NO,SYMTUZA
80,1171230001,LACOSAMIDA ACCORD 50 MG COMPRIMIDOS RECUBIERTOS CON PELICULA EFG,Accord Healthcare S.L.U.,01/12/2017,Autorizado,02/12/2017,N03AX18,LACOSAMIDA,1,NO,NO,Medicamento Sujeto A Prescripción Médica,,SI,NO,LACOSAMIDA
81,1171233007,"ZUBSOLV 0,7 MG/0,18 MG COMPRIMIDOS SUBLINGUALES",Accord Healthcare S.L.U.,27/07/2018,Autorizado,28/07/2018,N07BC51,"BUPRENORFINA HIDROCLORURO, NALOXONA HIDROCLORURO DIHIDRATO",2,NO,NO,Diagnóstico Hospitalario. Psicótropos,,SI,NO,ZUBSOLV
82,1171233013,"ZUBSOLV 5,7 MG/1,4 MG COMPRIMIDOS SUBLINGUALES",Accord Healthcare S.L.U.,27/07/2018,Autorizado,28/07/2018,N07BC51,"BUPRENORFINA HIDROCLORURO, NALOXONA HIDROCLORURO DIHIDRATO",2,SI,NO,Diagnóstico Hospitalario. Psicótropos,,SI,NO,ZUBSOLV
83,1171233015,"ZUBSOLV 8,6 MG/2,1 MG COMPRIMIDOS SUBLINGUALES",Accord Healthcare S.L.U.,27/07/2018,Autorizado,28/07/2018,N07BC51,"BUPRENORFINA HIDROCLORURO, NALOXONA HIDROCLORURO DIHIDRATO",2,SI,NO,Diagnóstico Hospitalario. Psicótropos,,SI,NO,ZUBSOLV
84,1171237002,ELEBRATO ELLIPTA 92 MICROGRAMOS/55 MICROGRAMOS/22 MICROGRAMOS POLVO PARA INHALACION (UNIDOSIS),Glaxosmithkline Trading Services Limited,28/09/2018,Autorizado,29/09/2018,R03AL08,"FLUTICASONA FUROATO, VILANTEROL, UMECLIDINIO",3,SI,NO,Medicamento Sujeto A Prescripción Médica,Medicamentos para el aparato respiratorio administrados por vía inhalatoria,NO,NO,ELEBRATO
85,1171245002,PREVYMIS 480 MG COMPRIMIDOS RECUBIERTOS CON PELICULA,Merck Sharp & Dohme B.V.,26/02/2018,Autorizado,27/02/2018,J05AX18,LETERMOVIR,1,SI,NO,Uso Hospitalario,,NO,NO,PREVYMIS
86,1171245004,PREVYMIS 480 MG CONCENTRADO PARA SOLUCION PARA PERFUSION,Merck Sharp & Dohme B.V.,26/02/2018,Autorizado,27/02/2018,J05AX18,LETERMOVIR,1,NO,NO,Uso Hospitalario,,NO,NO,PREVYMIS
87,1171246001,MVASI 25 MG/ML CONCENTRADO PARA SOLUCION PARA PERFUSION,Amgen Technology (Ireland) Unlimited Company,27/09/2019,Autorizado,28/09/2019,L01FG01,BEVACIZUMAB,1,SI,NO,Uso Hospitalario,Biológicos,NO,NO,MVASI
88,1171247002,ADYNOVI 250 UI/ 2 ML POLVO Y DISOLVENTE PARA SOLUCION INYECTABLE,Baxalta Innovations Gmbh,02/02/2018,Autorizado,03/02/2018,B02BD02,RURIOCTOCOG ALFA PEGOL,1,NO,SI,Uso Hospitalario,,NO,NO,ADYNOVI
89,1171249005,DARUNAVIR KRKA 600 MG COMPRIMIDOS RECUBIERTOS CON PELICULA EFG,Krka D.D. Novo Mesto,21/12/2018,Autorizado,22/12/2018,J05AE10,DARUNAVIR,1,NO,NO,Diagnóstico Hospitalario,,NO,NO,DARUNAVIR
90,1171250003,RUBRACA 300 MG COMPRIMIDOS RECUBIERTOS CON PELICULA,Pharmaand Gmbh,10/05/2019,Autorizado,11/05/2019,L01XK03,RUCAPARIB CAMSILATO,1,SI,NO,Diagnóstico Hospitalario,,SI,NO,RUBRACA
91,1171251002IP1,"OZEMPIC 0,25 MG SOLUCION INYECTABLE EN PLUMA PRECARGADA",Novo Nordisk A/S,28/08/2025,Autorizado,29/08/2025,A10BJ06,SEMAGLUTIDA,1,NO,NO,Medicamento Sujeto A Prescripción Médica,Biológicos,SI,NO,OZEMPIC
92,1171251003IP,"OZEMPIC 0,5 MG SOLUCION INYECTABLE EN PLUMA PRECARGADA",Novo Nordisk A/S,16/09/2024,Autorizado,17/09/2024,A10BJ06,SEMAGLUTIDA,1,SI,NO,Medicamento Sujeto A Prescripción Médica,Biológicos,SI,NO,OZEMPIC
93,1171251005IP,OZEMPIC 1 MG SOLUCION INYECTABLE EN PLUMA PRECARGADA,Novo Nordisk A/S,16/09/2024,Autorizado,17/09/2024,A10BJ06,SEMAGLUTIDA,1,SI,NO,Medicamento Sujeto A Prescripción Médica,Biológicos,SI,NO,OZEMPIC
94,1171252002,FASENRA 30 MG SOLUCION INYECTABLE EN PLUMA PRECARGADA,Astrazeneca Ab,27/09/2019,Autorizado,28/09/2019,R03DX10,BENRALIZUMAB,1,SI,NO,Diagnóstico Hospitalario,Biológicos,NO,NO,FASENRA
95,1171253001,FULVESTRANT MYLAN 250 MG SOLUCION INYECTABLE EN JERINGA PRECARGADA EFG,Mylan Pharmaceuticals Limited,28/05/2018,Autorizado,29/05/2018,L02BA03,FULVESTRANT,1,NO,NO,Medicamento Sujeto A Prescripción Médica,,NO,NO,FULVESTRANT
96,1171254003,JORVEZA 1 MG COMPRIMIDO BUCODISPERSABLE,Dr. Falk Pharma Gmbh,07/03/2018,Autorizado,08/03/2018,A07EA06,BUDESONIDA,1,SI,NO,Diagnóstico Hospitalario,,NO,NO,JORVEZA
